日期,时间,过程变量值,PID输出值,回路给定值,
2014.02.02  ,  20:00:02 ,19423,6118,7.0000e+001,
2014.02.02  ,  20:00:01 ,19582,5936,7.0000e+001,
2014.02.02  ,  20:00:00 ,19668,5979,7.0000e+001,
2014.02.02  ,  19:59:59 ,19611,6279,7.0000e+001,
2014.02.02  ,  19:59:58 ,19395,6780,7.0000e+001,
2014.02.02  ,  19:59:57 ,19087,7260,7.0000e+001,
2014.02.02  ,  19:59:56 ,18824,7463,7.0000e+001,
2014.02.02  ,  19:59:55 ,18764,7172,7.0000e+001,
2014.02.02  ,  19:59:54 ,19005,6392,7.0000e+001,
2014.02.02  ,  19:59:53 ,19515,5401,7.0000e+001,
2014.02.02  ,  19:59:52 ,20102,4651,7.0000e+001,
2014.02.02  ,  19:59:51 ,20474,4637,7.0000e+001,
2014.02.02  ,  19:59:50 ,20359,5613,7.0000e+001,
2014.02.02  ,  19:59:49 ,19665,7358,7.0000e+001,
2014.02.02  ,  19:59:48 ,18585,9178,7.0000e+001,
2014.02.02  ,  19:59:47 ,17593,10113,7.0000e+001,
2014.02.02  ,  19:59:46 ,17277,9372,7.0000e+001,
2014.02.02  ,  19:59:45 ,18068,6847,7.0000e+001,
2014.02.02  ,  19:59:44 ,19978,3346,7.0000e+001,
2014.02.02  ,  19:59:43 ,22500,546,7.0000e+001,
2014.02.02  ,  19:59:42 ,24399,0,7.0000e+001,
